
2023/01/02 (17:52:28) | ===> btop++ v.1.2.13
2023/01/02 (17:52:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/02 (17:53:35) | ===> btop++ v.1.2.13
2023/01/02 (17:53:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/02 (17:54:08) | ===> btop++ v.1.2.13
2023/01/02 (17:54:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/02 (17:55:50) | ===> btop++ v.1.2.13
2023/01/02 (17:55:50) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/02 (17:57:12) | ===> btop++ v.1.2.13
2023/01/02 (17:57:12) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/02 (18:00:33) | ===> btop++ v.1.2.13
2023/01/02 (18:00:33) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/02 (18:03:14) | ===> btop++ v.1.2.13
2023/01/02 (18:03:14) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
