11:38	light	236
14:46	dark	58
08:00	light	0
10:01	light	123
10:13	dark	54
12:31	light	221
12:48	dark	74
14:08	dark	141
14:08	light	141
14:14	dark	51
08:00 light toggle 0
13:09 light wakeup 69
13:59 dark  toggle 43
12:25 light toggle 210
13:24 dark  toggle 81
13:53 light toggle 130
17:42 light wakeup 9
17:42 light wakeup 12
17:42 dark  toggle 9
08:00 light toggle 0
08:56 light wakeup 119
08:56 light wakeup 119
19:00 dark  toggle 164
19:33 dark  wakeup 2
19:33 dark  wakeup 2
08:00 light toggle 0
15:59 light wakeup 36
15:59 light wakeup 36
15:59 light wakeup 36
16:01 dark  toggle 28
19:35 dark  wakeup 16
19:35 dark  wakeup 16
00:56 dark  wakeup 12
00:56 dark  wakeup 12
12:59 light toggle 210
13:00 dark  toggle 236
13:01 light toggle 236
13:12 dark  toggle 139
13:13 light toggle 129
13:16 dark  toggle 110
13:16 light toggle 105
13:16 dark  toggle 105
13:17 light toggle 105
13:17 dark  toggle 105
13:19 light toggle 102
16:04 dark  toggle 57
13:37 dark  wakeup 204
13:37 light toggle 204
13:37 light wakeup 204
